GCA023425485	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea sp023425485
GCA023425615	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Actinocorallia	Actinocorallia sp023425615
GCA023425645	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Alcaligenes	Alcaligenes sp023425645
GCA023425865	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp023425865
GCA023425905	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Cellulomonadaceae	JAFABT01	JAFABT01 sp023425905
GCA023426005	Bacteria	Bacillota	Clostridia	Acetivibrionales	DSM-27016	Ruminiclostridium	Ruminiclostridium sp023426005
GCA023426125	Bacteria	Bacillota	Clostridia	Acetivibrionales	DTU013	MnB-11	MnB-11 sp023426125
GCA023426145	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp023426145
GCA023426225	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp023426225
GCA023426245	Bacteria	Bacillota	UBA4882	UBA8346	UBA8346	UBA8346	UBA8346 sp023426245
GCA023426265	Bacteria	Bacillota	Clostridia	Christensenellales	CAG-138	JAEYLA01	JAEYLA01 sp023426265
GCA023426275	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Solidesulfovibrio sp023426275
GCA023426345	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia sp023426345
GCA023426365	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospirillaceae	Magnetospirillum	Magnetospirillum sp023426365
GCA023426375	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Kocuria	Kocuria sp023426375
